DATE,SALES
9/1/2021,0.432
10/1/2021,0.423
11/1/2021,0.444
12/1/2021,0.469
1/1/2022,0.422
2/1/2022,0.442
3/1/2022,0.472
4/1/2022,0.450
5/1/2022,0.463
6/1/2022,0.482
7/1/2022,0.472
8/1/2022,0.513
9/1/2022,0.490
10/1/2022,0.476
11/1/2022,0.515
12/1/2022,0.498
1/1/2023,0.501
2/1/2023,0.503
3/1/2023,0.509
4/1/2023,0.532
5/1/2023,0.565
6/1/2023,0.549
7/1/2023,0.504
8/1/2023,0.544
9/1/2023,0.501
10/1/2023,0.451
11/1/2023,0.480
12/1/2023,0.458
1/1/2024,0.507
2/1/2024,0.500
3/1/2024,0.452
4/1/2024,0.513
5/1/2024,0.495
6/1/2024,0.452
7/1/2024,0.523
8/1/2024,0.509
